who,content
范雎,"歇为人臣,出身以徇其主。"
贾谊,"当此之时,齐有孟尝,赵有平原,楚有春申,魏有信陵。此四君者,皆明智而忠信,宽厚而爱人,尊贤而重士。"
司马迁,"①吾适楚,观春申君故城,宫室盛矣哉！初,春申君之说秦昭王,及出身遣楚太子归,何其智之明也！后制于李园,旄矣。语曰：' 当断不断,反受其乱。' 春申君失朱英之谓邪？' ;②以身徇君,遂脱彊秦,使驰说之士南乡走楚者,黄歇之义。 "
司马贞,"黄歇辩智,权略秦、楚。太子获归,身作宰辅。珠炫赵客,邑开吴土。烈王寡胤,李园献女。无妄成灾,朱英徒语。"
张继,"春申祠宇空山里,古柏阴阴石泉水。日暮江南无主人,弥令过客思公子。萧条寒景傍山村,寂寞谁知楚相尊。当时珠履三千客,赵使怀惭不敢言。 "
张祜,"薄俗何心议感恩,谄容卑迹赖君门。春申还道三千客,寂寞无人杀李园。 "
杜牧,"烈士思酬国士恩,春申谁与快冤魂。三千宾客总珠履,欲使何人杀李园。 "
皮日休,"士以知己委用于人,报其用者术苟不王,要在强其国,尊其君也。上可以霸略,次可以忠烈。无王术而有霸略者,可以胜人国；无霸略而有忠烈者,亦足以胜人国。春申之道,复何如哉？忧荆不胜,以身市奇计,不曰忠乎？荆太子既去,歇孤在秦,其俟刑待祸,若自屠以当馁虎,不曰烈乎？然徙都于寿春,失邓室之固,去方城之险,舍江汉之利,其为人谋下矣。犹死以吴为宫室,以鲁为封疆,春申之力哉。当斯时也,苟任荀卿之儒术,广圣人之道,用之期月,荆可王矣。然以猜去士,以谤免贤。於戏！儒术圣道,其奥藏天地,其明烛鬼神。春申且不悟,况李园之阴谋,岂易悟哉！岂易悟哉！ "
周昙,"春申随质若王图,为主轻生大丈夫。女子异心安足听,功成何更用阴谟。"
苏轼,"宏才伟略,大度深思,三千朱履,百万雄师,名列四杰,声振华夏。"
徐钧,"输忠世子得逃秦,二十余年相国荣。固位但知迷孕女,防身惜不用朱英。"
葛立方,"朱英在楚强黄歇,黄歇如何弱李园。一旦棘门奇祸作,自诒伊戚向谁论。"
许衡,"战国之四君,其可称者,唯一春申耳。至如孟尝、平原、信陵三子,乃尸位素餐者也。 "
